phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
20002_1288	Non-cancer illness code, self-reported: nervous breakdown	binary	phesant	361141	53	360573	568	20002_0 || CAT-MUL-BINARY-VAR 1288 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1288 but with missing value (<0) || sample 360573/568(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1289	Non-cancer illness code, self-reported: schizophrenia	binary	phesant	361141	53	360750	391	20002_0 || CAT-MUL-BINARY-VAR 1289 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1289 but with missing value (<0) || sample 360750/391(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1291	Non-cancer illness code, self-reported: mania/bipolar disorder/manic depression	binary	phesant	361141	53	360133	1008	20002_0 || CAT-MUL-BINARY-VAR 1291 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1291 but with missing value (<0) || sample 360133/1008(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1384	Non-cancer illness code, self-reported: scleroderma/systemic sclerosis	binary	phesant	361141	53	361020	121	20002_0 || CAT-MUL-BINARY-VAR 1384 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1384 but with missing value (<0) || sample 361020/121(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1394	Non-cancer illness code, self-reported: peripheral nerve injury	binary	phesant	361141	53	360914	227	20002_0 || CAT-MUL-BINARY-VAR 1394 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1394 but with missing value (<0) || sample 360914/227(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1425	Non-cancer illness code, self-reported: cerebral aneurysm	binary	phesant	361141	53	360885	256	20002_0 || CAT-MUL-BINARY-VAR 1425 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1425 but with missing value (<0) || sample 360885/256(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1433	Non-cancer illness code, self-reported: cerebral palsy	binary	phesant	361141	53	361018	123	20002_0 || CAT-MUL-BINARY-VAR 1433 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1433 but with missing value (<0) || sample 361018/123(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1434	Non-cancer illness code, self-reported: other neurological problem	binary	phesant	361141	53	359633	1508	20002_0 || CAT-MUL-BINARY-VAR 1434 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1434 but with missing value (<0) || sample 359633/1508(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1435	Non-cancer illness code, self-reported: optic neuritis	binary	phesant	361141	53	361012	129	20002_0 || CAT-MUL-BINARY-VAR 1435 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1435 but with missing value (<0) || sample 361012/129(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1436	Non-cancer illness code, self-reported: headaches (not migraine)	binary	phesant	361141	53	358119	3022	20002_0 || CAT-MUL-BINARY-VAR 1436 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1436 but with missing value (<0) || sample 358119/3022(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1437	Non-cancer illness code, self-reported: myasthenia gravis	binary	phesant	361141	53	361036	105	20002_0 || CAT-MUL-BINARY-VAR 1437 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1437 but with missing value (<0) || sample 361036/105(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1468	Non-cancer illness code, self-reported: diabetic neuropathy/ulcers	binary	phesant	361141	53	361018	123	20002_0 || CAT-MUL-BINARY-VAR 1468 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1468 but with missing value (<0) || sample 361018/123(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1469	Non-cancer illness code, self-reported: post-traumatic stress disorder	binary	phesant	361141	53	360875	266	20002_0 || CAT-MUL-BINARY-VAR 1469 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1469 but with missing value (<0) || sample 360875/266(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1470	Non-cancer illness code, self-reported: anorexia/bulimia/other eating disorder	binary	phesant	361141	53	360851	290	20002_0 || CAT-MUL-BINARY-VAR 1470 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1470 but with missing value (<0) || sample 360851/290(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1478	Non-cancer illness code, self-reported: cervical spondylosis	binary	phesant	361141	53	358631	2510	20002_0 || CAT-MUL-BINARY-VAR 1478 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1478 but with missing value (<0) || sample 358631/2510(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1482	Non-cancer illness code, self-reported: chronic fatigue syndrome	binary	phesant	361141	53	359482	1659	20002_0 || CAT-MUL-BINARY-VAR 1482 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1482 but with missing value (<0) || sample 359482/1659(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1523	Non-cancer illness code, self-reported: trigemminal neuralgia	binary	phesant	361141	53	360984	157	20002_0 || CAT-MUL-BINARY-VAR 1523 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1523 but with missing value (<0) || sample 360984/157(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1525	Non-cancer illness code, self-reported: benign / essential tremor	binary	phesant	361141	53	361031	110	20002_0 || CAT-MUL-BINARY-VAR 1525 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1525 but with missing value (<0) || sample 361031/110(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1526	Non-cancer illness code, self-reported: polio / poliomyelitis	binary	phesant	361141	53	360885	256	20002_0 || CAT-MUL-BINARY-VAR 1526 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1526 but with missing value (<0) || sample 360885/256(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
